schedule_country,regime,serial_no,issue,block
IND,expanded_2017,606,hs6_442199_not_in_HS2012(HS2017),"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,hs6_442199_not_in_HS2012(HS2017),"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,hs6_442199_not_in_HS2012(HS2017),"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
IND,expanded_2017,606,range_or_alternative,"38220090 80% 3824 84 00 Containing aldrin (ISO), camphechlor 80% (ISO) (toxaphene), chlordane (ISO),"
